,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
48,左營,302672.7743598,273446.3955821,273446.3955821,266295.3353342,271867.8037928,264377.9373520,274015.3311963,285713.9582910,260142.4986959,259724.4076483,255118.5649564,189407.3839077,231062.7190230,188073.3682921,188772.7266595,180507.3572185,172710.5001711,174043.5244497,172920.1073781,160001.0023326,140497.2746944,138680.9529667,96121.2338178,76918.6880458,59157.5586056,49964.6570658,49964.6570658,22216.1434280,20289.5608714,18006.4068177,18480.7051785,15201.5120246,3254.8062190,3254.8062190,17630.8439820,92452.4695733,105208.2713152,117912.4924684,147872.7688922,149268.1197523,279132.6202359,280121.9152008,272471.0783664,387759.9976923
49,小林,240592.7959240,213634.9986179,213634.9986179,204645.7324593,210789.8924520,203108.3530209,212301.6251642,223832.2589157,198455.0040038,199263.8062141,193617.0961557,130060.2611199,171668.3674435,130132.6593026,131034.7838983,120579.9142410,119793.0882230,120860.5568093,117146.4424935,108987.3403462,88643.7864587,76593.0327960,45592.4648419,44086.4646256,53521.8519938,50815.2459885,50815.2459885,54748.7793141,54898.6492819,53803.5872534,52425.9915717,48642.1446561,65815.6848619,65815.6848619,71457.4287391,132098.4423525,122760.7642571,109386.1226532,155697.9928694,156531.4174223,272083.2381023,275646.3134779,266254.3143013,340835.4050344
50,鳳鼻頭,317094.1945261,289299.0207517,289299.0207517,281052.6941187,287018.7769025,279400.0841638,288727.7858826,300298.6905402,274869.0314497,275228.8422651,269977.1746821,205334.7518804,247054.9288465,204535.9231615,205307.2707169,196155.0983534,190458.0333626,191741.1921409,189987.7636502,178048.8052765,158247.9374675,153005.5535839,113472.6390639,95842.3766977,79134.1800528,69942.0796285,69942.0796285,42246.4695017,40320.0885081,37976.4151089,38347.4169180,29765.5908810,16816.1433916,16816.1433916,5181.2099701,72748.7088247,122428.9617161,137679.0622805,132824.8956341,134316.6047595,297956.7871964,298660.0165688,291228.2960163,406934.5574795
51,蚵仔寮,298810.1744587,269029.2314544,269029.2314544,262322.7243972,267734.8497070,260301.2582533,270055.3925274,281797.0929526,256186.4004585,255456.8412934,251113.5760209,185025.2621870,226615.2043182,183465.5222457,184133.2628900,176253.3804608,167548.3620581,168903.0993108,168064.5434043,154710.2860054,135368.7292214,135056.6461471,91278.8459500,71302.3805220,52808.6384065,43622.1673463,43622.1673463,15761.0876332,13859.4267545,11794.8609809,12463.8611913,14731.0114453,9701.0722136,9701.0722136,24138.0494042,98984.7414930,99345.1349019,111383.4259535,153529.0386451,154900.3754039,272761.9042685,273816.5715835,266115.8655277,381860.6157585
52,南寮,295949.1660373,265813.1168836,265813.1168836,259396.6793306,264703.2118495,257307.7260611,267136.0564143,278903.6398092,253272.4565869,252340.0846139,248168.8024930,181852.6709453,223387.8418532,180145.9977047,180792.9299511,173168.3846532,163875.3902886,165243.6525291,164589.2098409,150958.8724355,131729.2585710,132416.4523832,87863.1198643,67387.6381728,48436.1918406,39257.3746752,39257.3746752,11350.6789121,9475.1393152,7685.2896930,8576.6582141,15671.1629970,14143.9259959,14143.9259959,28534.1877850,103406.2964839,95592.3667872,106973.4319951,157228.2905370,158581.7029923,268531.1685418,269646.7547116,261900.0244970,377715.7030470
53,文安,292577.1491049,262073.5667620,262073.5667620,255961.9783015,261156.6132866,253802.3745440,263707.0826803,275500.0068234,249851.6289113,248706.3095678,244716.4439630,178176.2815628,219643.5962052,176315.4480154,176940.3775983,169587.6609914,159681.3871982,161063.2520375,160600.0438491,146687.4177557,127579.7854991,129335.9836142,83982.3586144,62987.2645244,43582.0926236,34412.0257598,34412.0257598,6482.6609984,4663.1958601,3768.1175914,5080.1395097,17663.7174608,19025.3100240,19025.3100240,33333.9711247,108228.2858113,91749.4440750,102184.3572649,161140.6159383,162472.7673637,264008.5989233,265207.7626254,257398.3989746,373044.0245089
54,興達,285189.5573191,254294.0265534,254294.0265534,248510.5501682,253580.1628373,246272.5850515,256260.4624461,268079.6578777,242417.2533947,241038.5688113,237247.6970541,170481.3478667,211866.6520870,168462.0447416,169064.9887842,161999.9704734,151507.0733133,152899.2168658,152598.9613921,138458.3251613,119448.0370613,122378.2531231,76134.1843565,54696.1323835,35416.2098052,26224.4132599,26224.4132599,2438.5862673,3748.8637113,5796.2286805,5756.6266330,21137.7574748,26991.7194925,26991.7194925,40863.0726452,115681.5658736,87604.1597779,95083.0132417,166059.3719368,167342.0851015,257787.3839872,259237.1971067,251243.5085828,364666.1558455
55,前鎮,312243.9196825,283711.0017987,283711.0017987,276023.6025819,281791.9278922,274236.5876223,283723.6143313,295362.0521280,269853.5172026,269817.6337342,264893.5078412,199679.7790657,241382.4765548,198600.9730985,199334.5591789,190639.1962389,183817.1621457,185128.9377717,183723.0814267,171231.9930905,151592.6658491,148114.5543577,107002.5310124,88463.4012717,70924.0961521,61732.7667558,61732.7667558,33902.8948462,31998.6793885,29790.6829194,30267.9087996,23830.3844069,8535.8999652,8535.8999652,8178.9747209,81324.7250591,114208.8725616,129121.0025451,140183.9152032,141644.0657315,289447.7460037,290199.1970153,282729.5244049,399428.7185566
56,汕尾,318298.4825002,291210.4831727,291210.4831727,282439.6660463,288587.0721573,280913.0736228,290087.5323259,301590.1942386,276246.9481677,276977.9374204,271421.1688580,207368.5651252,249072.3293164,206843.7637538,207651.7801081,198064.9395336,193501.1460474,194752.7525954,192640.2634783,181292.8315650,161341.9185049,154397.2199401,116459.2519882,99849.6913162,84261.3744801,75090.9161536,75090.9161536,47717.6908883,45768.2663518,43250.3080094,43483.0530632,33117.9190435,22548.2933190,22548.2933190,8210.7599402,66818.2465172,129002.6733061,143543.6706898,126215.2466470,127712.8397905,304288.0008386,305064.6641006,297577.8168051,410892.4954190
57,東莒,171754.6418354,150116.9233625,150116.9233625,174676.1550491,164908.5592831,170457.3746000,172756.9268126,171806.4520967,177679.1169703,163584.3568556,177454.1489936,203194.9321816,172229.6659091,198625.7064419,197312.5272334,212930.2893949,200905.2551239,200014.6518033,205994.4116695,211102.9640991,231445.2305188,255835.4119647,275570.5962345,290459.5853757,309731.4478376,318597.5730701,318597.5730701,346117.1530846,347829.4891078,349508.7649177,348824.8985243,357120.9184939,370371.6635993,370371.6635993,382281.1888500,451611.8605648,311856.7586799,268387.4015521,465762.5731291,466098.1875244,227605.2223179,239016.2702526,230761.9483980,20746.4675053
58,西嶼,269683.3023056,229373.4919518,229373.4919518,234444.6994054,235342.7814358,230167.0177836,241571.6585536,253057.2881414,229463.1129847,221228.1870507,223881.7332451,160610.1382430,191997.3113138,153596.9963378,153246.5510324,157335.6482677,126448.2362718,128037.6230109,135843.6585131,114119.2166052,108372.5292924,143939.9701015,100786.1938572,84901.6868959,78041.1207042,85373.1385974,85373.1385974,108257.8257502,110181.2938347,113100.8374414,113351.1927638,128345.8016781,132218.8987158,132218.8987158,146883.7281280,221141.1401195,39916.7858421,19984.6992038,272551.7042809,273740.1931835,150171.6936442,151866.2146019,143660.6484300,291334.4971404
