,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
10,金門,330782.7516478,288221.5405757,288221.5405757,304884.8355805,300747.3025724,299323.0655805,309632.4359435,318170.5568126,302349.7879063,288408.0136771,297692.1532380,257017.4049517,267706.2362713,248045.1353853,246940.5733002,259458.5213356,223545.9031458,224513.9678991,235998.7897395,218389.9312911,226080.8536298,269028.6957980,241054.5486537,232515.3101265,230015.7760522,237572.8475997,237572.8475997,259897.1862875,261785.1667577,264765.6352035,265113.5823744,280354.4535938,282921.6117505,282921.6117505,297547.9408010,370351.8017002,177288.8031572,167961.9652384,424777.0017762,425964.9928070,15282.1624737,3825.1366625,14444.7007497,254812.5368403
11,田中,169822.7007309,137355.8309828,137355.8309828,132916.5739389,137263.6191075,130219.0774305,140655.9227402,152583.2261532,126973.2536744,124370.2615301,121607.2588134,53904.3668451,94943.2278887,51503.1072889,52135.1391632,46300.6684139,39404.1242625,40327.7691161,36550.2791109,30906.2512860,14196.1828627,29015.1447645,40835.5847775,64561.9839372,90620.5472569,96807.7824850,96807.7824850,119352.1071642,120576.6136718,121204.4714097,120134.3651237,123815.5717005,139616.7191393,139616.7191393,148839.0790158,212911.6016670,138604.6663447,99314.0164542,227708.0137427,228220.1915575,231676.9412554,238117.0028403,227286.0633230,261031.9708402
12,東吉島,280128.4324416,242503.1212392,242503.1212392,243643.7286406,246116.1825335,240025.2307069,251164.0511363,263013.6067863,238127.8389292,232252.0915201,232559.4688969,165618.1600610,202190.9045036,160184.5207798,160191.4013221,160133.8540663,135399.5578574,137025.7339513,142070.2482379,121722.4218760,109649.8186531,135749.8950422,85837.9840436,63016.0599254,46078.8908691,51100.0468493,51100.0468493,70237.7018736,72101.0879112,75107.4033981,75524.4619009,91009.2768908,93299.7996353,93299.7996353,107963.3793240,181806.8473721,24555.0010009,34664.3082129,235925.8785855,237190.3334367,188690.8016394,189680.7900092,182008.4889484,322604.2880533
13,澎湖,262388.9887240,222498.0338720,222498.0338720,226887.6121173,228051.0717702,222710.5130140,234091.1872464,245655.8556724,221811.4614277,213953.0430869,216221.7187681,152262.1413870,184512.5424331,145437.1104152,145135.7075309,148707.2832720,118509.7941671,120113.7732889,127560.2494440,105905.6301157,99377.0584608,134419.2437526,91160.6180992,75703.8287480,70311.6738222,78052.0647458,78052.0647458,102060.5790537,104004.8599584,106856.7362964,107015.6447543,121685.5109137,126527.3477251,126527.3477251,141143.8138589,215763.1327597,42196.8492204,10331.4844786,265268.4898659,266425.8868927,157029.3215106,159202.3859935,150666.0706132,289615.1442250
14,臺南,274080.4866970,242527.0404225,242527.0404225,237310.4722273,242163.3539497,234939.3633561,245064.5594055,256922.7302429,231249.7634303,229470.1994747,226024.2226228,158910.2885538,200121.9728876,156607.6457141,157170.3879263,150629.6229048,139070.2225002,140481.2815584,140485.7178093,125921.1576354,107110.8923428,112226.4164126,64455.3426946,42092.4343220,23101.7180088,14008.9701528,14008.9701528,14939.5725580,16592.2765344,18373.8799907,17865.4504274,30573.8948773,39591.1506887,39591.1506887,52986.4744581,127434.2735830,82287.2509538,84501.9556350,174295.9876391,175505.7648263,248327.3499233,250176.3907079,241896.2010253,351805.2487349
15,永康,268121.2893122,236677.0672563,236677.0672563,231359.7142942,236241.8681990,229005.2010122,239113.5881287,250967.9012752,225295.2508878,223574.9207853,220075.7320177,153011.0084518,194264.2190128,150776.0506853,151350.8275844,144695.7285901,133504.9441369,134902.7189822,134742.9752175,120435.9224268,101477.1281978,106246.2368535,58558.0630422,36679.2629946,20521.7798208,12371.0522108,12371.0522108,20293.8343235,21761.8020842,23097.9029787,22355.8508658,33059.4769039,43948.8310485,43948.8310485,56737.4603044,130581.5756320,84162.3920722,83022.9817875,174897.9614069,176063.0595417,247390.5998874,249509.2497331,241041.7522760,347065.7293872
16,高雄,295887.6805313,266726.6735157,266726.6735157,259516.6458761,265103.7160565,257608.0393186,267235.6716004,278931.5634175,253362.7733381,252978.6631448,248342.4748910,182685.2997512,224351.2612565,181404.4523018,182112.6219191,173763.3042206,166262.7751593,167584.0838100,166333.8325181,153630.1077480,134040.8119337,131892.6534956,89554.6166263,70854.5709343,54313.7228549,45153.1573568,45153.1573568,18329.9371932,16384.3199935,13581.0743018,13626.6336501,9017.5772097,9546.6645828,9546.6645828,21745.2561588,96395.7423398,104290.5423141,114364.3969096,148539.6371833,149884.1134955,276625.4581971,277875.5778123,270030.8812506,381881.9639607
17,嘉義,213782.9899751,182005.3748313,182005.3748313,176946.4103474,181646.6607005,174471.4407306,184699.8589953,196587.7394758,170920.6715774,168911.0096645,165645.8570422,98355.8501536,139587.2452495,96139.3886513,96741.7221730,90187.4050870,80379.6363383,81664.8878006,80449.6316700,68142.3011817,48177.3825599,55251.4804379,4003.2966628,21757.1477751,47924.3258465,52969.7979245,52969.7979245,74705.6792843,75947.3870028,76641.2014295,75599.6048328,80325.3016611,95533.1399539,95533.1399539,105593.2843559,173313.9492391,106993.5621044,78763.5095687,198996.7721678,199774.1703585,234466.4240185,239002.3943729,229049.9279682,299073.3616233
18,臺中,138709.5988774,105380.7192418,105380.7192418,101820.0913164,105681.7819639,98830.2213617,109514.9933349,121458.0726589,96011.9917336,92578.8854246,90544.8421594,22691.3822956,62986.5381133,19535.8037728,20240.8108445,17741.5181615,21657.8901074,21137.9165798,9979.3465588,27267.5344193,33503.7093857,41651.9831044,72823.0378626,96215.8425559,122001.5585866,128510.6500625,128510.6500625,151341.4852157,152564.2263336,153176.9349509,152099.3963802,155439.2028773,171424.0801441,171424.0801441,180315.9376161,242519.0507187,164772.2213914,121941.1537794,251435.0738814,251792.8913065,234503.0011817,242158.6293589,230944.5062679,234943.1347722
19,阿里山,196735.3100114,171032.4329824,171032.4329824,161003.0524052,167430.2577300,159662.1001209,168617.8558667,180062.7101143,154804.1735383,156304.0642344,150068.6277429,88600.7045663,129620.5434066,90047.3352109,91127.1244568,78750.5662065,85592.9374959,86291.2960632,79906.2490690,77909.0000269,59285.3470963,33409.3352577,36443.3603192,57331.2927978,80334.5252730,82274.4384341,82274.4384341,95572.9476945,96145.9036913,95644.7159655,94326.6704072,92508.3759149,109620.3747790,109620.3747790,115421.7786828,171631.4261882,144787.1307312,117308.4469076,180873.1984754,181352.5704357,268508.8508446,273778.9897958,263460.5594794,306508.3214887
20,大武,318824.1116791,297781.1901784,297781.1901784,285013.5043008,292481.3044788,284511.5418634,292305.3906198,303069.7118872,278868.9785253,282519.9986700,274661.4691952,216902.7173731,257327.1549734,218532.7406024,219601.2480923,206954.5305582,211355.3003453,212320.1679456,207488.4453446,201124.9021166,180826.7980963,161341.5996676,137846.8575851,129666.5015104,122696.7936763,114337.2772320,114337.2772320,91338.0081252,89496.3405923,86472.6752608,86037.5417713,70698.8132071,70623.0170942,70623.0170942,57242.4306787,46031.0163085,177842.4735458,185185.4757385,75062.8994392,76463.7881269,349136.3522029,350808.5735725,342668.6448498,432877.4355619
21,玉山,194566.3937845,171791.9872035,171791.9872035,159745.6937906,166849.5560637,158929.7548603,167194.5159188,178301.3687614,153560.7118717,156582.3556949,149143.4186278,91921.4186975,131516.5847220,94759.6974523,95974.4184537,81879.7286805,94370.1473166,94860.6855000,87111.9852926,88306.3330054,71006.0102007,36918.4897684,51481.8059356,71335.8835245,93050.4414981,94077.1991259,94077.1991259,104432.0086475,104771.0773072,103897.7990528,102534.5275784,98591.6862174,115764.6695205,115764.6695205,119871.5618079,170541.9058125,158890.3225841,132345.2907564,173077.9461173,173432.1681387,283046.4922014,288454.7653874,278073.0200382,313247.0215944
22,新竹,59034.3107066,22921.3852892,22921.3852892,25760.4679031,24697.6411521,20491.7345386,31731.7560460,42618.5799068,23017.9713600,10579.1901399,18884.5360363,61242.0728344,19977.2242905,63597.7849192,63195.6663827,70255.9405318,86441.1892970,84815.1198441,80898.0971151,100158.2923604,114896.8946569,114738.7330976,155548.8145655,179063.8647508,204693.8784616,211358.9463269,211358.9463269,234049.0368300,235225.2497998,235732.4243007,234620.9782383,237061.1245071,253427.7421469,253427.7421469,261514.3200329,319367.7800565,241502.5115268,195819.7767021,316133.3089009,316166.6539694,266463.9092403,276303.2787186,264976.6171906,182239.2920216
23,恆春,360274.8234666,337985.1377969,337985.1377969,326038.2090795,333265.7354001,325334.8918881,333414.2351977,344333.4791836,319868.3505978,322919.9371309,315528.9257813,255989.1744261,296968.0759911,256978.1902923,257970.5696304,246162.3984869,247549.7356494,248635.4635760,244794.5481189,236424.0216331,216095.0388532,200704.8180335,171718.0846644,159116.0943722,146362.3747556,137280.0437181,137280.0437181,110391.7414586,108435.1957551,105802.8392775,105909.4222411,93383.7323704,85345.5267195,85345.5267195,70846.0082445,4323.5511326,189705.6399770,206339.5323851,81854.0081768,83610.6721464,366434.2238278,366864.5787764,359650.4700508,468026.2463442
24,成功,231525.7722594,217227.8573560,217227.8573560,200587.9833477,209167.7188462,201170.1938923,207281.6044033,217019.5592164,194712.7044417,201398.0186313,191317.6940209,145449.1421731,180808.4963310,150127.3363948,151475.8305917,135672.7476870,153885.7890654,154224.2382850,145486.6297059,148687.7565234,131559.8102961,94787.2927541,105023.8815317,116362.1336102,129425.4493456,126286.2299079,126286.2299079,122964.3027283,122307.2884992,120088.6033849,118778.0394095,107285.9278968,121553.5581250,121553.5581250,118189.2419634,141021.2786518,198657.8138323,182188.4180935,120363.1390623,120357.3378265,340048.0219108,344750.7697128,334727.9474687,368902.7772710
25,蘭嶼,349465.7882193,336663.2291697,336663.2291697,319642.2212329,328386.1492606,320409.0543425,326168.9146030,335552.6557221,313843.2163328,320826.8714597,310586.4509572,263120.3085137,299920.6974700,266881.2688271,268153.0817014,253149.2424679,266095.8160579,266744.7599153,259612.1244683,258183.3252481,238743.4158653,209418.6740526,200341.3958688,198100.6894174,195675.6696255,187917.3687305,187917.3687305,166806.2061997,165023.9434668,161975.7501063,161427.9990258,145787.1622129,146761.7982033,146761.7982033,133221.6571438,83308.3293129,253798.8630021,258251.2849792,2247.7790427,958.4664235,422874.3693649,425071.9606408,416573.4253326,485776.7527003
26,日月潭,154442.0554352,128629.5462712,128629.5462712,118489.6483058,124834.6654558,117075.9435054,126132.5618304,137654.1177695,112295.0419554,113770.6993647,107508.3505179,47870.5906955,87685.5252589,51281.8842157,52573.7209311,37826.3409237,56887.5947646,56877.0228139,46930.9398925,55786.0536760,46334.0291506,9866.1181629,60719.7725419,86389.1547254,112451.2895341,116763.6564665,116763.6564665,134681.2559072,135520.0101363,135438.2323448,134190.4164987,134084.0182588,151011.0429660,151011.0429660,157616.2435427,213596.2103033,168038.6863925,131286.1987715,216208.9274319,216479.0167240,263257.0661812,270062.7140648,259104.4210634,270309.6474604
27,臺東,271485.7262335,253452.2442544,253452.2442544,238863.9823264,246867.1160194,238848.1745635,245916.2341133,256254.3354143,232812.6183830,237850.2095526,228948.2793355,175914.4933660,214560.7731846,178930.7503196,180143.4090253,165872.2891309,176614.1055785,177309.0898192,170568.1148864,168486.7124408,149037.5890332,121061.0811026,111711.5014164,113152.7095541,117054.4987501,111129.6093984,111129.6093984,98508.0958009,97275.5919619,94483.4924191,93406.5616526,78839.1928134,89197.3478734,89197.3478734,82021.0845564,96678.3165461,183203.5698240,177344.4747276,89947.5257786,90490.2694403,341041.8385275,344349.0919424,335123.0352675,397138.8911439
28,馬祖,188880.1793487,170367.3258188,170367.3258188,194647.2134663,184756.5977587,190686.9307848,192216.2973646,190375.3281627,197991.3338693,184370.1707461,198104.0290162,226228.4535539,194468.2956050,221795.4468929,220491.8409139,236007.3964340,224305.4218998,223412.7723499,229348.8708883,234491.7559000,254832.2889248,279109.1074517,298919.4779140,313637.3149665,332682.7057261,341581.4925287,341581.4925287,369158.0569726,370881.0487610,372588.2178018,371917.2422291,380336.8812310,393491.3326413,393491.3326413,405474.8434714,474960.1978978,333298.1283779,290350.5420551,489039.1578487,489365.8167714,240593.1713945,251869.7979184,244272.0125230,2793.6260507
29,梧棲,139134.4637282,101680.2275039,101680.2275039,103009.7827810,104995.1475148,99109.5184417,110379.7856046,122127.2720873,97763.9401662,91089.4304968,92168.9298652,30957.8846113,61071.4630821,22520.4620220,21829.8292506,32522.9427696,5779.9512144,4149.8634053,10423.1148986,19541.7178311,37045.0449965,60415.8667779,81585.7345371,102130.4910149,126561.9989181,133995.0865621,133995.0865621,158792.9394345,160192.4264858,161159.7262819,160194.6842928,165293.2750432,180507.3773804,180507.3773804,190515.2608804,255763.9521686,161108.4519225,116038.6099852,268865.6244228,269293.3244696,216509.8274159,224528.4147296,213232.6508527,218446.3457086
30,豐濱,177400.1465428,167281.7354544,167281.7354544,148465.9211915,157595.3138619,149736.0730161,154677.2062908,163688.1065747,142877.0930802,151448.6642811,140099.0587305,106565.2371206,134990.4088541,113454.3502055,114899.0681408,98133.5434989,126131.1312255,125903.0023552,115038.8669542,125841.2732601,114450.7103875,71408.9144738,108095.8782339,128947.6895625,150075.0412461,150296.6452861,150296.6452861,156633.6592167,156594.9036246,155151.8236777,153762.7279438,146305.7941954,162743.9842949,162743.9842949,163108.5947502,196119.4959920,216501.6460817,188587.2465397,173247.3365984,173012.9768501,332018.1953308,338367.5772472,327585.3081916,326463.4078109
31,永安,289608.0919450,259224.6299968,259224.6299968,253009.4874193,258238.1214890,250870.7407901,260753.1107982,272539.1905836,246895.1159143,245817.1533910,241768.7986605,175300.7650805,216795.6822243,173502.8008051,174137.6590384,166677.8879132,157069.4835535,158442.1365166,157864.1584840,144131.1723155,124937.0280862,126297.8928927,81186.0381205,60537.7205070,41955.8909469,32762.7193967,32762.7193967,5447.7972627,3539.3491698,835.2866675,1979.0887834,16211.7633842,20456.5121388,20456.5121388,34318.4670474,109167.2303814,92500.9003257,101466.5154034,160616.3989516,161926.2042813,263834.4000543,265167.5413547,257259.8172070,370917.2902020
32,茄萣,283687.7976856,252338.0026284,252338.0026284,246947.9701133,251874.3883691,244622.5627594,254701.1613337,266546.2571924,240875.1430204,239226.9075229,235669.0697259,168661.8007408,209925.2330425,166434.4208793,167006.2303883,160316.1245792,148960.2294050,150372.4993361,150360.2402643,135798.4986093,117003.5554326,121396.6191232,74213.2873131,51968.2141235,31509.2418888,22356.0946565,22356.0946565,5613.6863497,7530.6587953,10112.4540558,10196.2191755,25486.1859535,31046.2271558,31046.2271558,45116.4551543,119983.6314850,83479.7285176,90678.5732998,170418.8631505,171695.0532298,253340.4846969,254799.6588291,246798.3188818,361246.9878456
33,湖內,282839.1383991,252237.1411218,252237.1411218,246200.9930089,251358.6535574,244017.0809152,253947.8844699,265750.0099558,240096.1800915,238887.0691576,234949.5256642,168350.5892035,209807.0932893,166473.5781505,167098.2958738,159784.2543802,149921.2261226,151296.1468883,150769.7629392,136974.2401186,117796.8465395,119776.7521043,74140.2820522,53389.1375513,35544.1732244,26392.0484730,26392.0484730,5486.7151258,5893.9567059,6328.7217469,5519.7888987,19143.0335331,27206.9507079,27206.9507079,40513.5178222,115068.4992190,90159.4067200,96211.9466326,163986.2592727,165248.8308219,259389.3876865,260970.1219480,252882.4544723,363890.6377232
34,彌陀,293172.4536265,263068.4811158,263068.4811158,256623.0377251,261937.2100395,254538.5728036,264362.0680611,276128.3381152,250498.1128630,249582.4989767,245396.2282537,179101.0617126,220644.4526854,177417.2529437,178068.0966430,170406.5338509,161239.7488707,162603.2274347,161893.7321335,148353.2750148,129080.8327698,129636.9742470,85149.9395746,64857.0520747,46420.6194341,37228.0075473,37228.0075473,9583.4153598,7629.8397040,5300.5947774,5985.4740809,14357.9265865,15986.4025303,15986.4025303,29991.3492963,104881.7677620,95445.9435546,105620.0302845,157434.1329655,158767.3079716,267639.1729111,268867.4235662,261037.2752679,375356.8673085
35,岡山,289789.3819506,260148.9867778,260148.9867778,253319.3230394,258766.4294043,251319.2190476,261049.8820516,272784.4064474,247179.8026818,246525.2836028,242116.0372697,176127.7327069,217744.6745080,174661.0398078,175344.0081025,167313.2643377,159100.2609243,160436.8806321,159393.3719090,146378.1188981,126891.0319170,126007.7049625,82588.6359668,63364.5611608,46785.3201164,37650.7975177,37650.7975177,11871.3025983,10080.9570291,7029.8886035,6585.1053854,9662.5599743,16742.7469559,16742.7469559,29333.5854093,103798.0973529,99122.2286275,107310.1306109,154048.8104971,155352.3063990,270093.3513793,271513.0598975,263543.4589425,374328.6013420
36,仁武,297523.3329896,268869.9393380,268869.9393380,261260.7376669,266989.2318345,259445.6530785,268965.8993085,280619.9367320,255094.3822079,254990.1085000,250119.4482190,184837.4572988,226539.3792634,183766.5166669,184503.7656416,175805.0822793,169168.6701608,170467.4398242,168941.8103792,156675.4615252,136946.9319549,133414.9857207,92269.7581040,74393.5467258,58737.7083972,49613.6095306,49613.6095306,23146.4280656,21209.3042540,18353.1909065,18296.6221362,9094.3593872,8291.0900780,8291.0900780,17568.7824398,91831.0371701,109063.5222405,119116.8666231,143757.2513746,145108.8976034,281482.0254825,282740.5057775,274890.4583932,385493.6310333
37,鼓山,308332.7900131,279218.1657634,279218.1657634,271983.5399768,277590.2507201,270089.1349761,279700.2057819,291388.0809506,265827.2455591,265472.6583291,260814.7045560,195177.2745301,236840.0143216,193870.7664816,194573.0255671,186257.5444328,178519.6032627,179853.9890632,178733.8395302,165798.1920085,146307.7944105,144297.8711586,101935.8568091,82645.3275007,64394.5415851,55213.7625207,55213.7625207,27305.5844007,25432.8140840,23394.4706083,23993.3266268,20304.6380978,3118.0228845,3118.0228845,14209.5713246,88148.1703106,107773.0627002,122301.3827463,146036.1677787,147471.2952106,282708.4525672,283508.3372764,276000.8574786,393390.1070266
