,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
11,臺東,271485.7911699,253452.3709091,253452.3709091,238864.0755951,246867.2194909,238848.2776593,245916.3218568,256254.4132250,232812.7140292,237850.3314030,228948.3822251,175914.6806374,214560.9290005,178930.9555972,180143.6159346,165872.4768813,176614.3658441,177309.3472759,170568.3535574,168486.9940017,149037.8824056,121061.2914190,111711.8485163,113153.1031913,117054.9183226,111130.0323353,111130.0323353,98508.5165743,97276.0117580,94483.9113276,93406.9812112,78839.6065750,89197.7402934,89197.7402934,82021.4482478,96678.3913058,183203.9947182,177344.8834129,89947.2448465,90489.9826017,341042.2376697,344349.4955584,335123.4361784,397139.1225057
12,嘉義,213782.6963510,182005.1290778,182005.1290778,176946.1204696,181646.3863181,174471.1599218,184699.5693183,196587.4479477,170920.3791210,168910.7466445,165645.5679894,98355.5839949,139586.9973297,96139.1529852,96741.4913144,90187.1190624,80379.4983451,81664.7448717,80449.4335941,68142.1987794,48177.2522901,55251.0925665,4002.9645553,21757.5274356,47924.6867527,52970.1211409,52970.1211409,74705.9146770,75947.6152904,76641.4156763,75599.8146621,80325.4370440,95533.3113412,95533.3113412,105593.4137379,173313.9804580,106993.9845940,78763.9034836,198996.6293129,199774.0243336,234466.7279116,239002.7110491,229050.2378867,299073.3193680
13,宜蘭,55239.8687101,76286.1047493,76286.1047493,52531.6144734,60667.4038166,58038.7674612,51606.7614462,51089.5219435,52740.8715049,68411.7220122,56383.7670392,107249.0558005,85130.7131654,114672.7520655,115199.0252343,110876.6750935,142265.9096421,140759.0012491,132055.3901312,153814.1436658,161260.8915935,140225.1629659,190760.7966524,216408.4585605,242659.5059957,247222.2192370,247222.2192370,264431.1810280,265133.3357686,264794.0768234,263495.7177896,261473.7415233,278651.0760350,278651.0760350,283224.3545444,327551.5455649,292784.2988996,250420.3913827,305247.5667162,304858.5689834,340311.6151049,349843.8361079,338462.6480956,238771.8316115
14,鞍部,7611.8502859,50317.6333324,50317.6333324,41852.4718511,40590.3331112,45651.8905747,34356.4910304,22682.0369530,47506.7734973,54677.2167036,53019.5029265,120838.4269643,83843.3165927,125431.1811610,125353.2653952,128030.2183442,150505.5130835,148876.5112883,143473.2838559,163934.0216941,176772.6545804,167531.1315777,214012.8222729,238755.7124719,264917.9179720,270848.8485219,270848.8485219,291512.7155734,292495.3097176,292637.4191897,291432.7437520,291852.2260339,308757.7725883,308757.7725883,315237.0978093,366336.3542527,305834.7363002,260564.8670721,350996.1041342,350736.4146375,324611.3133198,334976.3716727,323826.7336196,192275.5921723
15,竹子湖,9267.3259071,51025.6604740,51025.6604740,41193.8378492,40587.3796188,45245.2938972,33856.9732007,22482.9118185,46687.3172342,54594.8611996,52242.5136957,119910.2433163,83435.5013422,124665.2358714,124617.5943641,126957.0818907,149958.4424062,148330.7962021,142741.5381522,163327.0121273,175920.1440314,166075.3822786,212830.2415088,237647.2309691,263838.1963036,269703.4931206,269703.4931206,290203.5010998,291172.1900138,291289.4688083,290079.2111792,290372.5326955,307301.3214913,307301.3214913,313684.3674213,364442.2680518,305263.6956502,260107.8542836,348714.4614347,348447.3412051,325566.4723281,335893.0917390,324725.1081814,194795.0521714
16,彭佳嶼,80293.8075977,122232.8744113,122232.8744113,115845.8278044,114597.6091093,119835.5877103,108492.2653432,96871.4274154,121234.7396277,128717.4902352,126815.8429694,194070.6569428,158033.1909611,199156.3028662,199151.4141264,200626.7093033,224616.7993294,222989.2510192,217269.7190378,237967.2844730,250194.4269877,237279.6053690,285717.6727366,310883.2172219,337179.4711561,342688.6977359,342688.6977359,362068.2088937,362927.9311741,362848.3242308,361595.7922037,360760.3706241,377862.5385922,377862.5385922,383237.5276246,428978.0158992,379913.6532011,334746.3329366,404262.7353479,403765.1676301,391105.5181288,401870.5153000,390975.2230037,221916.6778253
17,臺南,274080.6794321,242527.2170627,242527.2170627,237310.6632781,242163.5400121,234939.5514493,245064.7504913,256922.9220815,231249.9552240,229470.3817940,226024.4132522,158910.4715650,200122.1505280,156607.8205029,157170.5614008,150629.8110895,139070.3732453,140481.4333383,140485.8836811,125921.3024344,107111.0490060,112226.6271082,64455.5261551,42092.5778151,23101.7342420,14008.9688463,14008.9688463,14939.4554862,16592.1731437,18373.8072185,17865.3936232,30573.9310547,39591.0890460,39591.0890460,52986.4426315,127434.2649584,82287.0870530,84501.9065396,174296.0810869,175505.8598487,248327.2750103,250176.3058513,241896.1231294,351805.3441025
18,日月潭,154442.0554352,128629.5462712,128629.5462712,118489.6483058,124834.6654558,117075.9435054,126132.5618304,137654.1177695,112295.0419554,113770.6993647,107508.3505179,47870.5906955,87685.5252589,51281.8842157,52573.7209311,37826.3409237,56887.5947646,56877.0228139,46930.9398925,55786.0536760,46334.0291506,9866.1181629,60719.7725419,86389.1547254,112451.2895341,116763.6564665,116763.6564665,134681.2559072,135520.0101363,135438.2323448,134190.4164987,134084.0182588,151011.0429660,151011.0429660,157616.2435427,213596.2103033,168038.6863925,131286.1987715,216208.9274319,216479.0167240,263257.0661812,270062.7140648,259104.4210634,270309.6474604
19,新北,25240.7147588,47087.9750721,47087.9750721,27328.1907907,32230.2309513,32818.5030380,22887.8821890,19024.6116092,30848.4950459,43719.5082060,36224.4584593,101204.1266798,68570.0618707,106833.4732783,106962.8223980,107441.2343128,133233.5074132,131625.4025908,124971.2841299,146161.3312481,157320.0218610,144766.0152538,192540.9826567,217650.3308917,243938.9412331,249506.4889312,249506.4889312,269317.5825071,270232.4081964,270256.0042108,269025.6649706,268876.0484217,285875.0269253,285875.0269253,291948.8750818,341922.7112419,287911.9550227,243497.5611189,326172.5057850,325918.8238910,319017.2958471,328990.5117552,317694.3002507,206523.7226736
20,阿里山,196735.4819303,171032.5725672,171032.5725672,161003.2159633,167430.4134193,159662.2579095,168618.0208844,180062.8783034,154804.3372545,156304.2104376,150068.7882064,88600.8182745,129620.6712064,90047.4282491,91127.2152293,78750.6846510,85592.9607622,86291.3232872,79906.3030410,77908.9905104,59285.3097079,33409.4725023,36443.1624495,57331.0662606,80334.2931263,82274.2068460,82274.2068460,95572.7298962,96145.6875112,95644.5025604,94326.4574284,92508.1814215,109620.1782923,109620.1782923,115421.5984208,171631.3077980,144786.9068058,117308.2501770,180873.1817429,181352.5558841,268508.7120217,273778.8440707,263460.4170502,306508.3699156
